,objectId,srcObject,regionKey,objectType,objectCn,objectCon,subjectId,regionId,settlementId,street,house,addressNotes,okato,apartment,nobjectCn,nobjectCon
24,177_12463603301,2,177,002002002000,77:05:0006004:10455,1-3002032,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.110",,110,77:5:6004:10455,1-3002032
25,77:5:6004:10456,1,177,002009000000,77:05:0006004:10456,,145000000000,145296000000,145296593000,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 111",,111,77:5:6004:10456,
26,177_367267301,2,177,002002002000,77:05:0006004:10456,77-77-20/176/2006-921,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 111",,111,77:5:6004:10456,77-77-20/176/2006-921
27,77:5:6004:10457,1,177,002009000000,77:05:0006004:10457,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 112",,112,77:5:6004:10457,
28,177_1737078301,2,177,002002002000,77:05:0006004:10457,1-1858776,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 112",,112,77:5:6004:10457,1-1858776
29,77:5:6004:10486,1,177,002009000000,77:05:0006004:10486,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 113",,113,77:5:6004:10486,
30,177_13806857301,2,177,002002002000,77:05:0006004:10486,77-77-05/033/2008-92,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 113",,113,77:5:6004:10486,77-77-5/33/2008-92
31,77:5:6004:10487,1,177,002009000000,77:05:0006004:10487,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 114",,114,77:5:6004:10487,
32,77:5:6004:10488,1,177,002009000000,77:05:0006004:10488,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 115",,115,77:5:6004:10488,
33,177_367269301,2,177,002002002000,77:05:0006004:10488,1-404695,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.115",,115,77:5:6004:10488,1-404695
34,77:5:6004:10489,1,177,002009000000,77:05:0006004:10489,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 116",,116,77:5:6004:10489,
35,177_1595693301,2,177,002002002000,77:05:0006004:10489,77-77-07/065/2012-225,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 116",,116,77:5:6004:10489,77-77-7/65/2012-225
36,77:5:6004:10518,1,177,002009000000,77:05:0006004:10518,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 117",,117,77:5:6004:10518,
37,77:5:6004:10519,1,177,002009000000,77:05:0006004:10519,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 118",,118,77:5:6004:10519,
38,177_1155636301,2,177,002002002000,77:05:0006004:10519,77-77-05/083/2010-520,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 118",,118,77:5:6004:10519,77-77-5/83/2010-520
39,77:5:6004:10520,1,177,002009000000,77:05:0006004:10520,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 119",,119,77:5:6004:10520,
40,177_13302454301,2,177,002002002000,77:05:0006004:10520,77-77-05/008/2006-708,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 119",,119,77:5:6004:10520,77-77-5/8/2006-708
41,77:5:6004:10197,1,177,002009000000,77:05:0006004:10197,,145000000000,145296000000,145296593000,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 12",,12,77:5:6004:10197,
42,177_367270301,2,177,002002002000,77:05:0006004:10197,1-1059361,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.12",,12,77:5:6004:10197,1-1059361
43,77:5:6004:10521,1,177,002009000000,77:05:0006004:10521,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 120",,120,77:5:6004:10521,
44,177_13309231301,2,177,002002002000,77:05:0006004:10521,77-77-05/008/2006-891,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 120",,120,77:5:6004:10521,77-77-5/8/2006-891
45,77:5:6004:10550,1,177,002009000000,77:05:0006004:10550,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 121",,121,77:5:6004:10550,
46,177_367271301,2,177,002002002000,77:05:0006004:10550,1-904374,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.121",,121,77:5:6004:10550,1-904374
47,77:5:6004:10551,1,177,002009000000,77:05:0006004:10551,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 122",,122,77:5:6004:10551,
48,177_367272301,2,177,002002002000,77:05:0006004:10551,1-1174467,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 122",,122,77:5:6004:10551,1-1174467
49,77:5:6004:10552,1,177,002009000000,77:05:0006004:10552,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 123",,123,77:5:6004:10552,
50,177_367273301,2,177,002002002000,77:05:0006004:10552,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.123",,123,77:5:6004:10552,
51,77:5:6004:10553,1,177,002009000000,77:05:0006004:10553,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 124",,124,77:5:6004:10553,
52,177_1074292602001,2,177,002002002000,77:05:0006004:10553,77-77/001-77/005/252/2015-524,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.124",,124,77:5:6004:10553,77-77/1-77/5/252/2015-524
53,77:5:6004:10581,1,177,002009000000,77:05:0006004:10581,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 125",,125,77:5:6004:10581,
54,177_12240967301,2,177,002002002000,77:05:0006004:10581,1-2781299,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 125",,125,77:5:6004:10581,1-2781299
55,77:5:6004:10582,1,177,002009000000,77:05:0006004:10582,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 126",,126,77:5:6004:10582,
56,177_1401936301,2,177,002002002000,77:05:0006004:10582,1-1494849,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.126",,126,77:5:6004:10582,1-1494849
57,77:5:6004:10583,1,177,002009000000,77:05:0006004:10583,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 127",,127,77:5:6004:10583,
58,177_1178384691001,2,177,002002002000,77:05:0006004:10583,77-77/005-77/005/273/2015-800,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.127",,127,77:5:6004:10583,77-77/5-77/5/273/2015-800
59,77:5:6004:10584,1,177,002009000000,77:05:0006004:10584,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 128",,128,77:5:6004:10584,
60,177_367274301,2,177,002002002000,77:05:0006004:10584,77-77-05/026/2012-912,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.128",,128,77:5:6004:10584,77-77-5/26/2012-912
61,77:5:6004:10613,1,177,002009000000,77:05:0006004:10613,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 129",,129,77:5:6004:10613,
62,177_1766089301,2,177,002002002000,77:05:0006004:10613,1-1889804,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.129",,129,77:5:6004:10613,1-1889804
63,77:5:6004:10226,1,177,002009000000,77:05:0006004:10226,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 13",,13,77:5:6004:10226,
64,177_12212028301,2,177,002002002000,77:05:0006004:10226,1-2752101,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 13",,13,77:5:6004:10226,1-2752101
65,77:5:6004:10614,1,177,002009000000,77:05:0006004:10614,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 130",,130,77:5:6004:10614,
66,177_367275301,2,177,002002002000,77:05:0006004:10614,1-666857,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 130",,130,77:5:6004:10614,1-666857
67,77:5:6004:10615,1,177,002009000000,77:05:0006004:10615,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 131",,131,77:5:6004:10615,
68,177_12983661301,2,177,002002002000,77:05:0006004:10615,77-77-05/011/2005-56,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 131",,131,77:5:6004:10615,77-77-5/11/2005-56
69,77:5:6004:10616,1,177,002009000000,77:05:0006004:10616,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 132",,132,77:5:6004:10616,
70,177_514019226001,2,177,002002002000,77:05:0006004:10616,77-77-05/058/2013-889,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.132",,132,77:5:6004:10616,77-77-5/58/2013-889
71,77:5:6004:10645,1,177,002009000000,77:05:0006004:10645,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 133",,133,77:5:6004:10645,
72,77:5:6004:10646,1,177,002009000000,77:05:0006004:10646,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 134",,134,77:5:6004:10646,
73,177_367276301,2,177,002002002000,77:05:0006004:10646,1-838066,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 134",,134,77:5:6004:10646,1-838066
74,77:5:6004:10647,1,177,002009000000,77:05:0006004:10647,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 135",,135,77:5:6004:10647,
75,177_244935352001,2,177,002002002000,77:05:0006004:10647,77-77-05/044/2012-827,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.135",,135,77:5:6004:10647,77-77-5/44/2012-827
